"v","r","w"
"{""id"":822,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:2"",""location"":""K1.B1"",""terminal"":""P1:2"",""id"":""K1.B1-W5(-P1):P1:2"",""type"":""panel"",""device"":""W5(-P1)""}}","{""id"":4833,""type"":""conn"",""start"":822,""end"":550,""properties"":{""wire_number"":""1309"",""color"":""BU""}}","{""id"":550,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:13"",""location"":""K1.H2"",""terminal"":""13"",""id"":""K1.H2-Q1:13"",""type"":""panel"",""device"":""Q1""}}"
"{""id"":545,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:44"",""location"":""K1.H2"",""terminal"":""44"",""id"":""K1.H2-K2:44"",""type"":""panel"",""device"":""K2""}}","{""id"":3200,""type"":""conn"",""start"":545,""end"":550,""properties"":{""wire_number"":""95"",""color"":""BU""}}","{""id"":550,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:13"",""location"":""K1.H2"",""terminal"":""13"",""id"":""K1.H2-Q1:13"",""type"":""panel"",""device"":""Q1""}}"
"{""id"":552,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:43"",""location"":""K1.H2"",""terminal"":""43"",""id"":""K1.H2-K2:43"",""type"":""panel"",""device"":""K2""}}","{""id"":3203,""type"":""conn"",""start"":552,""end"":551,""properties"":{""wire_number"":""96"",""color"":""BU""}}","{""id"":551,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:44"",""location"":""K1.H2"",""terminal"":""44"",""id"":""K1.H2-K1:44"",""type"":""panel"",""device"":""K1""}}"
"{""id"":551,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:44"",""location"":""K1.H2"",""terminal"":""44"",""id"":""K1.H2-K1:44"",""type"":""panel"",""device"":""K1""}}","{""id"":3202,""type"":""conn"",""start"":551,""end"":552,""properties"":{""wire_number"":""96"",""color"":""BU""}}","{""id"":552,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:43"",""location"":""K1.H2"",""terminal"":""43"",""id"":""K1.H2-K2:43"",""type"":""panel"",""device"":""K2""}}"
"{""id"":1862,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-K50:53"",""location"":""K1.B1"",""terminal"":""53"",""id"":""K1.B1-K50:53"",""type"":""panel"",""device"":""K50""}}","{""id"":5085,""type"":""conn"",""start"":1862,""end"":553,""properties"":{""wire_number"":""1565"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1851,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X22-X22.3F:17"",""location"":""K1.B1"",""terminal"":""17"",""id"":""K1.B1-X22-X22.3F:17"",""type"":""panel"",""device"":""X22-X22.3F""}}","{""id"":5063,""type"":""conn"",""start"":1851,""end"":553,""properties"":{""wire_number"":""1553"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1840,""labels"":[""Vertex""],""properties"":{""function"":""S02"",""name"":""=S02+K1.H1-F2.3:13"",""location"":""K1.H1"",""terminal"":""13"",""id"":""K1.H1-F2.3:13"",""type"":""panel"",""device"":""F2.3""}}","{""id"":5015,""type"":""conn"",""start"":1840,""end"":553,""properties"":{""wire_number"":""1494"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1797,""labels"":[""Vertex""],""properties"":{""function"":""S02"",""name"":""=S02+K1.H1-F2.2:13"",""location"":""K1.H1"",""terminal"":""13"",""id"":""K1.H1-F2.2:13"",""type"":""panel"",""device"":""F2.2""}}","{""id"":4945,""type"":""conn"",""start"":1797,""end"":553,""properties"":{""wire_number"":""1416"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1791,""labels"":[""Vertex""],""properties"":{""function"":""S02"",""name"":""=S02+K1.H1-F1.2:13"",""location"":""K1.H1"",""terminal"":""13"",""id"":""K1.H1-F1.2:13"",""type"":""panel"",""device"":""F1.2""}}","{""id"":4933,""type"":""conn"",""start"":1791,""end"":553,""properties"":{""wire_number"":""1410"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1162,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q2:13"",""location"":""K1.H2"",""terminal"":""13"",""id"":""K1.H2-Q2:13"",""type"":""panel"",""device"":""Q2""}}","{""id"":4838,""type"":""conn"",""start"":1162,""end"":553,""properties"":{""wire_number"":""1311"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":969,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-K4:14"",""location"":""K1.B1"",""terminal"":""14"",""id"":""K1.B1-K4:14"",""type"":""panel"",""device"":""K4""}}","{""id"":4626,""type"":""conn"",""start"":969,""end"":553,""properties"":{""wire_number"":""1164"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":873,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-V2:1.1"",""location"":""K1.B1"",""terminal"":""1.1"",""id"":""K1.B1-V2:1.1"",""type"":""panel"",""device"":""V2""}}","{""id"":4612,""type"":""conn"",""start"":873,""end"":553,""properties"":{""wire_number"":""1155"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1515,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K23:12"",""location"":""K1.B1"",""terminal"":""12"",""id"":""K1.B1-K23:12"",""type"":""panel"",""device"":""K23""}}","{""id"":4544,""type"":""conn"",""start"":1515,""end"":553,""properties"":{""wire_number"":""1115"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1461,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K22:12"",""location"":""K1.B1"",""terminal"":""12"",""id"":""K1.B1-K22:12"",""type"":""panel"",""device"":""K22""}}","{""id"":4474,""type"":""conn"",""start"":1461,""end"":553,""properties"":{""wire_number"":""1074"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1423,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K1:14"",""location"":""K1.B1"",""terminal"":""14"",""id"":""K1.B1-K1:14"",""type"":""panel"",""device"":""K1""}}","{""id"":4416,""type"":""conn"",""start"":1423,""end"":553,""properties"":{""wire_number"":""1039"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1377,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-X9:42:2"",""location"":""K1.B1"",""terminal"":""42:2"",""id"":""K1.B1-X9:42:2"",""type"":""panel"",""device"":""X9""}}","{""id"":4350,""type"":""conn"",""start"":1377,""end"":553,""properties"":{""wire_number"":""983"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1352,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-X9:40:2"",""location"":""K1.B1"",""terminal"":""40:2"",""id"":""K1.B1-X9:40:2"",""type"":""panel"",""device"":""X9""}}","{""id"":4320,""type"":""conn"",""start"":1352,""end"":553,""properties"":{""wire_number"":""959"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1321,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X21-X21.3F:9"",""location"":""K1.B1"",""terminal"":""9"",""id"":""K1.B1-X21-X21.3F:9"",""type"":""panel"",""device"":""X21-X21.3F""}}","{""id"":4280,""type"":""conn"",""start"":1321,""end"":553,""properties"":{""wire_number"":""920"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1275,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-K20:23"",""location"":""K1.B1"",""terminal"":""23"",""id"":""K1.B1-K20:23"",""type"":""panel"",""device"":""K20""}}","{""id"":4217,""type"":""conn"",""start"":1275,""end"":553,""properties"":{""wire_number"":""846"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":864,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-X9:20:2"",""location"":""K1.B1"",""terminal"":""20:2"",""id"":""K1.B1-X9:20:2"",""type"":""panel"",""device"":""X9""}}","{""id"":4145,""type"":""conn"",""start"":864,""end"":553,""properties"":{""wire_number"":""803"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1199,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.H2-Q3:13"",""location"":""K1.H2"",""terminal"":""13"",""id"":""K1.H2-Q3:13"",""type"":""panel"",""device"":""Q3""}}","{""id"":4107,""type"":""conn"",""start"":1199,""end"":553,""properties"":{""wire_number"":""777"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":849,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-K22:53"",""location"":""K1.B1"",""terminal"":""53"",""id"":""K1.B1-K22:53"",""type"":""panel"",""device"":""K22""}}","{""id"":3567,""type"":""conn"",""start"":849,""end"":553,""properties"":{""wire_number"":""337"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":835,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-K19:23"",""location"":""K1.B1"",""terminal"":""23"",""id"":""K1.B1-K19:23"",""type"":""panel"",""device"":""K19""}}","{""id"":3547,""type"":""conn"",""start"":835,""end"":553,""properties"":{""wire_number"":""324"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":829,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-K19:13"",""location"":""K1.B1"",""terminal"":""13"",""id"":""K1.B1-K19:13"",""type"":""panel"",""device"":""K19""}}","{""id"":3537,""type"":""conn"",""start"":829,""end"":553,""properties"":{""wire_number"":""319"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":808,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-X9:9:3"",""location"":""K1.B1"",""terminal"":""9:3"",""id"":""K1.B1-X9:9:3"",""type"":""panel"",""device"":""X9""}}","{""id"":3511,""type"":""conn"",""start"":808,""end"":553,""properties"":{""wire_number"":""305"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":773,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-K19:A1"",""location"":""K1.B1"",""terminal"":""A1"",""id"":""K1.B1-K19:A1"",""type"":""panel"",""device"":""K19""}}","{""id"":3475,""type"":""conn"",""start"":773,""end"":553,""properties"":{""wire_number"":""279"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":554,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:43"",""location"":""K1.H2"",""terminal"":""43"",""id"":""K1.H2-K1:43"",""type"":""panel"",""device"":""K1""}}","{""id"":3205,""type"":""conn"",""start"":554,""end"":553,""properties"":{""wire_number"":""97"",""color"":""BU""}}","{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}","{""id"":3204,""type"":""conn"",""start"":553,""end"":554,""properties"":{""wire_number"":""97"",""color"":""BU""}}","{""id"":554,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:43"",""location"":""K1.H2"",""terminal"":""43"",""id"":""K1.H2-K1:43"",""type"":""panel"",""device"":""K1""}}"
"{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}","{""id"":4555,""type"":""conn"",""start"":534,""end"":555,""properties"":{""wire_number"":""1121"",""color"":""BU""}}","{""id"":555,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K3:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K3:A2"",""type"":""panel"",""device"":""K3""}}"
"{""id"":556,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:2"",""location"":""K1.B1"",""terminal"":""P2:2"",""id"":""K1.B1-W5(-P2):P2:2"",""type"":""panel"",""device"":""W5(-P2)""}}","{""id"":3207,""type"":""conn"",""start"":556,""end"":555,""properties"":{""wire_number"":""98"",""color"":""BU""}}","{""id"":555,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K3:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K3:A2"",""type"":""panel"",""device"":""K3""}}"
"{""id"":1798,""labels"":[""Vertex""],""properties"":{""function"":""S02"",""name"":""=S02+K1.H1-V2.1:A2"",""location"":""K1.H1"",""terminal"":""A2"",""id"":""K1.H1-V2.1:A2"",""type"":""panel"",""device"":""V2.1""}}","{""id"":4946,""type"":""conn"",""start"":1798,""end"":556,""properties"":{""wire_number"":""1418"",""color"":""BU""}}","{""id"":556,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:2"",""location"":""K1.B1"",""terminal"":""P2:2"",""id"":""K1.B1-W5(-P2):P2:2"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":1372,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-K6:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K6:A2"",""type"":""panel"",""device"":""K6""}}","{""id"":5176,""type"":""conn"",""start"":1372,""end"":556,""properties"":{""wire_number"":""1663"",""color"":""BU""}}","{""id"":556,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:2"",""location"":""K1.B1"",""terminal"":""P2:2"",""id"":""K1.B1-W5(-P2):P2:2"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":976,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-K4:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K4:A2"",""type"":""panel"",""device"":""K4""}}","{""id"":5160,""type"":""conn"",""start"":976,""end"":556,""properties"":{""wire_number"":""1651"",""color"":""BU""}}","{""id"":556,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:2"",""location"":""K1.B1"",""terminal"":""P2:2"",""id"":""K1.B1-W5(-P2):P2:2"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":1799,""labels"":[""Vertex""],""properties"":{""function"":""S02"",""name"":""=S02+K1.H1-V2.2:A2"",""location"":""K1.H1"",""terminal"":""A2"",""id"":""K1.H1-V2.2:A2"",""type"":""panel"",""device"":""V2.2""}}","{""id"":4948,""type"":""conn"",""start"":1799,""end"":556,""properties"":{""wire_number"":""1420"",""color"":""BU""}}","{""id"":556,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:2"",""location"":""K1.B1"",""terminal"":""P2:2"",""id"":""K1.B1-W5(-P2):P2:2"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":555,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K3:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K3:A2"",""type"":""panel"",""device"":""K3""}}","{""id"":3206,""type"":""conn"",""start"":555,""end"":556,""properties"":{""wire_number"":""98"",""color"":""BU""}}","{""id"":556,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:2"",""location"":""K1.B1"",""terminal"":""P2:2"",""id"":""K1.B1-W5(-P2):P2:2"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":772,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-K19:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K19:A2"",""type"":""panel"",""device"":""K19""}}","{""id"":3473,""type"":""conn"",""start"":772,""end"":556,""properties"":{""wire_number"":""278"",""color"":""BU""}}","{""id"":556,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:2"",""location"":""K1.B1"",""terminal"":""P2:2"",""id"":""K1.B1-W5(-P2):P2:2"",""type"":""panel"",""device"":""W5(-P2)""}}"
